state,value
California,147
Illinois,136
New York,65
Washington,64
Ohio,51
Tennessee,49
Indiana,46
Nebraska,43
Massachusetts,42
Minnesota,41
Michigan,38
Texas,35
Oregon,33
Pennsylvania,32
Colorado,29
Georgia,27
Wisconsin,24
North Carolina,22
Florida,22
Virginia,21
Maryland,18
Missouri,16
Utah,14
New Jersey,13
Arizona,9
Kansas,9
District of Columbia,9
Alabama,9
Iowa,8
Connecticut,6
Kentucky,6
New Hampshire,6
New Mexico,5
Idaho,5
Maine,4
Oklahoma,4
South Carolina,4
Alaska,4
Nevada,3
North Dakota,3
Louisiana,3
South Dakota,2
Rhode Island,2
Vermont,2
Montana,1
Wyoming,1
Mississippi,1
